,City,Cloudiness(%),Country,Date in Unix,Humidity(%),Latitude,Longitude,Max Temp (Â°F),Wind Speed in MPH
271,Mpongwe,97,ZM,1566715272,60,-13.51,28.16,62.14,8.1
272,Byron Bay,30,AU,1566715498,53,-28.65,153.62,75.2,12.75
273,Luocheng,26,CN,1566715499,45,28.29,114.55,93.82,5.99
274,Faro,0,PT,1566715218,50,37.02,-7.94,75.2,6.93
275,Garcia,40,BR,1566715502,88,-12.99,-38.52,75.2,5.82
276,Onega,56,RU,1566715503,83,63.91,38.09,50.26,5.66
277,Nsanje,64,MZ,1566715504,73,-16.92,35.26,71.5,3.8
278,Sola,100,TZ,1566715505,39,-3.17,33.8,72.22,10.25
279,Belyy Yar,0,RU,1566715506,64,53.6,91.39,68.0,11.18
280,Udachnyy,0,RU,1566715508,37,66.42,112.4,68.0,6.71
281,Victoria,75,BN,1566715383,70,5.28,115.24,87.8,5.82
282,Chipata,30,ZM,1566715510,58,-13.64,32.65,70.42,7.0
283,Ahuimanu,40,US,1566715511,74,21.44,-157.84,84.2,16.11
284,Tigil,96,RU,1566715512,70,57.8,158.67,55.48,10.33
285,Klaksvik,63,FO,1566715268,93,62.23,-6.59,51.8,9.17
286,Acari,78,BR,1566715515,73,-6.44,-36.64,72.58,20.22
287,Varhaug,0,NO,1566715516,77,58.61,5.65,66.2,8.05
288,Deputatskiy,54,RU,1566715125,58,69.3,139.9,58.18,10.71
289,Kitimat,40,CA,1566715518,93,54.02,-128.69,53.6,6.93
290,Ust-Ishim,51,RU,1566715519,58,57.69,71.17,64.3,9.31
291,Otukpo,100,NG,1566715520,98,7.19,8.13,71.14,2.3
292,Burnie,77,AU,1566715522,53,-41.05,145.91,52.0,4.0
293,Ampanihy,0,MG,1566715523,62,-24.69,44.75,71.32,11.07
294,Gwadar,72,PK,1566715524,79,25.12,62.33,81.22,5.73
295,Kirakira,100,SB,1566715525,86,-10.46,161.92,78.16,2.01
296,Nouadhibou,23,MR,1566715048,93,20.93,-17.03,67.9,8.37
297,Vanavara,100,RU,1566715527,64,60.35,102.28,63.76,4.52
298,Lebu,21,ET,1566715178,73,8.96,38.73,60.88,2.04
299,Khujner,100,IN,1566715530,91,23.78,76.6,74.92,10.8
300,Bintulu,75,MY,1566715531,66,3.17,113.03,91.4,5.82
301,Ekimchan,26,RU,1566715532,49,53.07,132.94,69.88,5.26
302,Clarence Town,0,AU,1566715533,45,-32.59,151.78,68.0,18.34
303,Vizianagaram,75,IN,1566715535,62,18.12,83.4,89.6,8.05
304,Bonthe,100,SL,1566715536,91,7.53,-12.5,75.64,6.4
305,Talnakh,75,RU,1566715537,82,69.49,88.39,60.8,13.42
306,Sur,0,OM,1566715538,29,22.57,59.53,97.42,2.15
307,Helong,92,CN,1566715539,79,25.94,116.13,79.78,12.28
308,San Felipe,83,CL,1566715540,91,-32.75,-70.73,55.0,0.92
309,Mildura,75,AU,1566715542,33,-34.18,142.16,59.0,8.05
310,Hoi An,75,VN,1566715543,62,15.88,108.33,89.6,10.29
311,Tortoli,5,IT,1566715544,88,39.93,9.66,71.6,10.29
312,Puro,100,PH,1566715545,75,13.13,123.76,83.92,7.63
313,Ruma,20,RS,1566715546,78,45.01,19.82,71.6,2.51
314,Amahai,91,ID,1566715548,79,-3.31,129.0,77.26,11.43
315,Bastia,20,IT,1566715549,61,44.6,8.98,78.8,3.36
316,Lagoa,0,PT,1566715550,50,37.14,-8.45,75.2,6.93
317,Pangnirtung,99,CA,1566715551,74,66.15,-65.72,38.56,4.9
318,Athabasca,53,CA,1566715552,84,54.72,-113.29,50.08,4.52
319,Mahebourg,40,MU,1566715502,78,-20.41,57.7,75.2,12.75
320,Adrar,0,DZ,1566715555,20,27.87,-0.29,86.0,9.17
321,Energeticheskiy,20,KZ,1566715556,33,43.43,77.02,77.0,8.95
322,Jalu,0,LY,1566715557,41,29.03,21.55,80.86,9.04
323,Bhadrachalam,100,IN,1566715558,71,17.67,80.89,84.64,8.48
324,Matagami,100,NG,1566715430,98,9.67,8.4,66.1,2.53
325,Yenagoa,89,NG,1566715561,92,4.92,6.26,73.12,1.81
326,Katsina,100,NG,1566715562,88,12.99,7.6,71.14,15.08
327,Weiser,1,US,1566715564,31,44.25,-116.97,75.2,9.17
328,Riyadh,0,SA,1566715565,11,24.63,46.72,96.8,5.82
329,Iqaluit,75,CA,1566715566,87,63.75,-68.52,44.6,9.17
330,Liverpool,20,GB,1566715520,82,53.41,-2.98,69.01,6.93
331,Kloulklubed,90,PW,1566715568,74,7.04,134.26,82.4,13.87
332,Fort Frances,1,CA,1566715349,87,48.61,-93.4,57.99,5.82
333,Swan Hill,50,AU,1566715571,52,-35.34,143.56,52.6,10.92
334,Samarinda,79,ID,1566715572,79,-0.5,117.14,84.46,3.91
335,Chokurdakh,87,RU,1566715573,68,70.62,147.9,61.42,4.79
336,Ahipara,95,NZ,1566715341,100,-35.17,173.16,54.0,19.86
337,Moussoro,83,TD,1566715575,83,13.64,16.49,76.36,9.82
338,San Policarpo,44,PH,1566715577,78,12.18,125.51,83.74,3.85
339,Kathu,0,ZA,1566715578,29,-27.7,23.05,59.0,9.04
340,Kudahuvadhoo,100,MV,1566715579,65,2.67,72.89,83.2,6.64
341,Kibakwe,50,TZ,1566715580,75,-6.71,36.37,65.2,4.99
342,Tual,100,ID,1566715581,82,-5.67,132.75,76.18,16.78
343,Rio Grande,100,BR,1566715582,89,-32.03,-52.1,55.0,3.0
344,Meulaboh,100,ID,1566715584,81,4.14,96.13,78.34,14.25
345,Oistins,20,BB,1566715585,74,13.07,-59.53,82.4,14.99
346,Kavaratti,100,IN,1566715586,80,10.57,72.64,81.76,18.86
347,Mnogovershinnyy,100,RU,1566715587,74,53.94,139.92,55.66,1.36
348,Arizona,69,BR,1566715588,92,-28.39,-49.38,47.74,3.18
349,Primero de Marzo,0,PY,1566715590,52,-25.15,-56.93,69.8,5.82
350,Sao Joao da Barra,12,BR,1566715236,94,-21.64,-41.05,61.42,2.51
351,Kuwana,20,JP,1566715593,55,35.07,136.68,86.0,9.17
352,The Valley,20,AI,1566715298,78,18.22,-63.06,82.4,9.17
353,Nanjing,75,CN,1566715595,63,32.06,118.79,93.2,13.42
354,Aykhal,0,RU,1566715596,37,65.95,111.51,68.0,6.71
355,Gornoye Loo,40,RU,1566715597,61,43.72,39.61,78.8,2.24
356,Mabaruma,9,GY,1566715598,98,8.2,-59.78,71.32,1.19
357,Cherskiy,99,RU,1566715338,39,68.75,161.3,67.18,9.55
358,High Rock,99,BS,1566715601,80,26.63,-78.28,84.1,16.75
359,Chilca,20,PE,1566715602,89,-13.22,-72.34,41.0,3.36
360,Micheweni,11,TZ,1566715603,84,-4.97,39.83,75.28,16.04
361,Novobirilyussy,93,RU,1566715604,85,56.95,90.69,62.14,9.51
362,Gladstone,53,AU,1566715606,46,-23.84,151.26,71.6,11.41
363,Ostrovnoy,91,RU,1566715111,88,68.05,39.51,42.34,1.12
364,Les Escoumins,18,CA,1566715608,70,48.35,-69.4,50.26,3.09
365,Vostok,81,RU,1566715609,69,46.45,135.83,62.86,5.59
366,Lac du Bonnet,100,CA,1566715610,66,50.25,-96.06,70.0,7.0
367,Oranjemund,15,ZA,1566715611,66,-28.55,16.43,59.62,11.23
368,Mersing,96,MY,1566715613,72,2.43,103.84,84.82,6.73
369,Ola,94,RU,1566715614,82,59.58,151.3,54.22,10.98
370,Kiruna,100,SE,1566715615,93,67.86,20.23,48.2,6.93
371,Do Gonbadan,0,IR,1566715616,15,30.36,50.8,100.4,3.13
372,Leh,0,IN,1566715618,32,34.16,77.58,53.32,0.89
373,Makubetsu,75,JP,1566715619,73,42.84,143.34,69.8,10.29
374,Calbuco,90,CL,1566715620,93,-41.77,-73.13,46.4,4.7
375,Marienburg,0,DE,1566715621,68,52.12,9.98,73.0,3.36
376,Voh,24,NC,1566715622,66,-20.95,164.69,69.7,16.58
377,Tupik,5,RU,1566715624,56,54.43,119.94,70.06,6.15
378,Catuday,100,PH,1566715625,80,16.29,119.81,83.92,16.98
379,Longhua,30,CN,1566715626,41,29.21,106.21,96.16,3.42
380,Calama,0,CL,1566715628,17,-22.46,-68.93,44.6,18.34
381,Bure,100,NG,1566715185,91,10.52,10.33,70.06,1.3
382,Teguise,0,ES,1566715630,73,29.06,-13.56,77.0,10.29
383,Sao Felix do Xingu,40,BR,1566715631,72,-6.64,-51.99,69.88,0.98
384,Veisiejai,0,LT,1566715632,77,54.1,23.7,73.0,2.24
385,Usinsk,63,RU,1566715634,67,66.0,57.56,50.08,9.48
386,Necochea,43,AR,1566715141,91,-38.55,-58.74,42.01,5.99
387,Fairbanks,1,US,1566715193,81,64.84,-147.72,50.0,3.36
388,Maniitsoq,0,GL,1566715637,72,65.42,-52.9,42.88,5.12
389,Iwaki,40,JP,1566715638,65,37.05,140.89,82.99,13.87
390,Emerald,90,AU,1566715639,31,-23.53,148.16,77.0,8.05
391,Tupaciguara,0,BR,1566715641,48,-18.59,-48.7,60.8,9.17
392,Mananjary,0,MG,1566715642,41,-19.16,46.8,67.9,8.1
393,Beringovskiy,11,RU,1566715082,64,63.05,179.32,62.86,5.95
394,Puerto Leguizamo,28,CO,1566715629,88,-0.19,-74.78,70.42,0.76
395,Chicama,90,PE,1566715645,93,-7.84,-79.15,60.8,3.36
396,Lengshuitan,10,CN,1566715646,40,26.41,111.6,97.6,15.23
397,Neyshabur,0,IR,1566715648,9,36.21,58.79,74.2,3.42
398,Makakilo City,75,US,1566715649,65,21.35,-158.09,84.2,6.93
399,Nerja,0,ES,1566715650,88,36.75,-3.88,75.99,4.12
400,Kampong Cham,100,KH,1566715651,65,11.99,105.46,87.16,3.65
401,Cabinda,39,AO,1566715652,88,-5.56,12.19,71.5,3.85
402,San Fernando,20,TT,1566715654,88,10.28,-61.46,78.01,8.81
403,Goldap,0,PL,1566715655,94,54.31,22.3,73.0,3.36
404,Pangody,100,RU,1566715656,90,65.85,74.49,44.68,24.94
405,Cayenne,1,GF,1566715657,94,4.94,-52.33,75.2,2.77
406,Palomares,0,ES,1566715659,82,40.39,-5.74,72.0,3.36
407,Mana,100,NG,1566715660,86,13.03,5.27,74.38,7.38
408,Nivala,100,FI,1566715662,93,63.93,24.96,52.0,1.01
409,Vangaindrano,57,MG,1566715663,81,-23.35,47.6,69.7,5.19
410,Vestmanna,61,FO,1566715664,93,62.16,-7.17,51.8,9.17
411,Yulara,0,AU,1566715665,28,-25.24,130.99,73.4,8.05
412,Martapura,40,ID,1566715666,49,-3.41,114.85,93.2,8.05
413,Taoudenni,85,ML,1566715668,42,22.68,-3.98,89.86,4.47
414,Banjar,88,ID,1566715669,67,-7.37,108.54,77.44,6.93
415,Roald,75,NO,1566715670,59,62.58,6.12,69.01,18.34
416,Shar,99,NG,1566715671,98,7.3,8.73,70.78,3.27
417,Potenza,0,IT,1566715672,69,40.64,15.8,69.52,0.45
418,Cedar City,1,US,1566715674,28,37.68,-113.06,75.0,8.05
419,Itamaraca,40,BR,1566715675,83,-7.75,-34.83,77.0,6.93
420,Letterkenny,11,IE,1566715676,92,54.95,-7.73,54.58,0.87
421,La Marque,1,US,1566715677,83,29.37,-94.97,82.99,4.7
422,Soloneshnoye,97,RU,1566715678,71,51.65,84.32,63.4,2.71
423,Guanambi,64,BR,1566715680,73,-14.22,-42.78,64.84,10.42
424,Brownsville,1,US,1566715681,89,25.91,-97.49,84.2,5.82
425,San Patricio,0,PY,1566715682,70,-26.98,-56.83,57.82,6.35
426,Belmonte,71,PT,1566715256,94,40.36,-7.35,69.01,1.99
427,Huilong,25,CN,1566715684,39,31.15,106.5,96.52,3.0
428,Balkhash,0,KZ,1566715685,24,46.84,74.98,80.6,13.42
429,Okha,100,RU,1566715687,89,53.59,142.95,53.68,9.4
430,Da Lat,100,VN,1566715688,67,11.95,108.44,81.4,3.87
431,Anadyr,0,RU,1566715689,72,64.73,177.51,60.8,8.41
432,Vlore,0,AL,1566715690,71,40.47,19.49,79.42,8.19
433,Sabha,0,LY,1566715691,40,27.03,14.43,78.16,9.62
434,Sisimiut,32,GL,1566715693,74,66.94,-53.67,41.98,14.63
435,Port-Gentil,20,GA,1566715694,88,-0.72,8.78,75.2,3.36
436,Imbituba,0,BR,1566715128,87,-28.24,-48.67,55.4,3.36
437,Hami,44,CN,1566715696,20,42.84,93.51,86.44,12.93
438,Sladkovo,0,RU,1566715697,52,55.53,70.34,67.72,9.06
439,Gigmoto,100,PH,1566715699,70,13.78,124.39,84.1,1.54
440,Fort Nelson,90,CA,1566715194,93,58.81,-122.69,53.6,2.24
441,Pincher Creek,1,CA,1566715701,47,49.49,-113.95,59.0,9.17
442,Sobolevo,0,RU,1566715702,78,54.43,31.9,61.78,5.19
443,Zapolyarnyy,54,RU,1566715703,66,69.43,30.82,44.6,8.05
444,Zhangjiakou,0,CN,1566715704,51,40.77,114.88,72.04,8.41
445,Zhanaozen,96,KZ,1566715706,16,43.35,52.85,86.62,9.91
446,Launceston,85,AU,1566715668,50,-41.43,147.14,52.0,9.17
447,Kawhia,1,NZ,1566715708,87,-38.07,174.82,55.99,11.99
448,Mount Gambier,75,AU,1566715709,71,-37.83,140.78,53.6,12.75
449,Baft,0,IR,1566715710,12,29.23,56.61,65.74,11.23
450,Santiago del Estero,84,AR,1566715712,56,-27.8,-64.26,60.7,6.8
451,Nurota,0,UZ,1566715713,23,40.56,65.69,87.8,6.93
452,Grindavik,75,IS,1566715714,87,63.84,-22.43,50.0,9.17
453,Saint George,0,GR,1566715715,48,39.45,22.34,82.4,4.7
454,Quatre Cocos,40,MU,1566715716,78,-20.21,57.76,75.2,12.75
455,Evensk,100,RU,1566715717,95,61.92,159.24,51.52,9.57
456,Karlskoga,50,SE,1566715719,93,59.33,14.52,66.0,3.44
457,Caravelas,38,BR,1566715720,85,-17.73,-39.27,69.34,6.96
458,Buala,100,SB,1566715721,90,-8.15,159.59,76.0,7.36
459,Nabire,94,ID,1566715722,65,-3.36,135.5,81.4,4.92
460,Wadi Maliz,40,TN,1566715723,78,36.47,8.55,77.0,2.37
461,San Vicente,90,EC,1566715725,88,-0.59,-80.41,69.8,9.17
462,Remanso,56,BR,1566715726,74,-9.62,-42.08,69.7,11.14
463,Port Lincoln,93,AU,1566715728,67,-34.72,135.86,53.32,14.61
464,Yar-Sale,100,RU,1566715729,65,66.83,70.83,47.38,19.75
465,Baie-Comeau,1,CA,1566715730,100,49.22,-68.15,50.0,2.24
466,Zilupe,23,RU,1566715732,72,56.39,28.12,60.88,2.84
467,Pangoa,42,PE,1566715733,64,-12.12,-73.0,70.24,2.04
468,San Cristobal,4,HN,1566715315,93,14.68,-86.92,66.1,5.37
469,Honiara,75,SB,1566715636,70,-9.43,159.96,86.0,16.11
470,Ketchikan,90,US,1566715736,87,55.34,-131.65,57.2,3.36
471,Farrukhnagar,90,IN,1566715737,79,28.45,76.82,90.0,5.82
472,Skjervoy,100,NO,1566715739,78,70.03,20.97,49.9,12.33
473,Kargasok,83,RU,1566715740,73,59.06,80.87,56.74,11.27
474,Nantucket,1,US,1566715741,82,41.28,-70.1,66.99,11.41
475,Iquitos,75,PE,1566715742,94,-3.75,-73.25,73.4,1.12
476,Swan River,72,CA,1566715743,93,52.11,-101.27,60.52,5.03
477,Rawson,33,AR,1566715745,62,-43.3,-65.11,48.82,12.41
478,Okato,22,NZ,1566715746,87,-39.19,173.88,55.99,5.01
479,Junin,0,PE,1566715747,23,-16.45,-71.58,53.6,6.93
480,Sorland,100,NO,1566715748,95,67.67,12.69,54.58,25.52
481,Saint-Joseph,0,FR,1566715750,78,43.56,6.97,79.0,3.36
482,Saint-Paul-les-Dax,90,FR,1566715751,94,43.73,-1.05,71.01,2.24
483,Minab,0,IR,1566715752,33,27.15,57.07,104.0,4.7
484,Bristol,75,GB,1566715727,72,51.45,-2.6,66.99,3.36
485,Straumen,0,NO,1566715754,87,63.87,11.3,60.8,6.93
486,Ranghulu,6,CN,1566715755,53,46.63,124.88,77.26,6.76
487,Conceicao do Araguaia,78,BR,1566715757,43,-8.26,-49.26,71.86,1.63
488,Plymouth,75,GB,1566715740,100,50.37,-4.14,61.0,6.93
489,Rocky Mountain House,86,CA,1566715759,92,52.38,-114.92,47.92,3.94
490,Valer,74,ES,1566715760,73,41.76,-6.18,59.44,3.89
491,Port Shepstone,0,ZA,1566715761,17,-30.74,30.45,73.48,9.06
492,Lata,91,IN,1566715763,94,30.78,78.62,49.36,5.95
493,Vanersborg,38,SE,1566715764,100,58.38,12.32,64.99,1.97
494,Severo-Yeniseyskiy,46,RU,1566715765,51,60.37,93.04,67.18,8.03
495,Toora-Khem,86,RU,1566715766,62,52.47,96.11,57.82,6.4
496,Eggenfelden,75,DE,1566715767,77,48.4,12.76,69.01,5.82
497,Shakawe,0,BW,1566715768,24,-18.36,21.84,53.5,4.36
498,Uspenka,0,UA,1566715770,57,48.39,39.16,75.64,12.21
499,Manakara,47,MG,1566715771,82,-22.14,48.01,70.24,6.8
500,Vila Velha,75,BR,1566715715,78,-3.71,-38.6,78.8,14.99
501,Murdochville,0,CA,1566715773,61,48.96,-65.49,46.66,4.68
502,Osa,100,RU,1566715774,91,57.28,55.46,57.28,10.51
503,Praia da Vitoria,40,PT,1566715775,77,38.73,-27.07,69.8,12.71
504,Emmett,99,US,1566715777,27,43.87,-116.5,75.2,8.05
505,Elizabeth City,90,US,1566715778,88,36.3,-76.22,73.99,17.22
506,Sayyan,40,YE,1566715779,43,15.17,44.32,76.72,4.34
507,Laguna,20,BZ,1566715593,94,16.17,-88.94,78.8,1.92
508,La Ronge,20,CA,1566715781,93,55.1,-105.3,53.6,0.54
509,Slavonski Brod,75,HR,1566715782,88,45.17,18.01,72.0,2.24
510,Ivanovka,98,RU,1566715784,88,55.56,88.79,56.2,14.67
511,Marawi,74,PH,1566715785,75,8.0,124.29,84.0,5.99
512,Staicele,0,LV,1566715786,87,57.83,24.75,62.01,2.95
513,Bheramara,93,BD,1566715787,74,24.02,89.0,86.26,11.41
514,Ternate,90,PH,1566715788,94,14.29,120.72,82.4,3.36
515,Angoche,21,MZ,1566715790,69,-16.23,39.91,76.0,6.82
516,Lebyazhye,0,RU,1566715791,87,59.96,29.42,62.01,6.71
517,Narnaund,5,IN,1566715792,43,29.22,76.14,95.98,6.67
518,Bulawayo,0,ZW,1566715793,53,-20.16,28.59,59.62,8.3
519,College,1,US,1566715795,81,64.86,-147.8,50.0,3.36
520,Shido,75,JP,1566715796,65,34.32,134.17,87.8,11.41
521,Galway,75,IE,1566715728,87,53.27,-9.05,59.0,6.93
522,Tuy Hoa,98,VN,1566715504,41,13.08,109.3,95.44,8.57
523,Keti Bandar,100,PK,1566715261,79,24.14,67.45,80.86,13.04
524,Ballina,75,IE,1566715801,100,54.11,-9.15,59.0,8.05
525,Shahrud,0,IR,1566715802,15,36.42,54.97,63.22,4.85
526,Punta,90,PH,1566715804,94,14.18,121.12,84.99,3.36
527,Babylon,1,US,1566715598,77,40.7,-73.33,68.0,4.7
528,Contamana,6,PE,1566715806,70,-7.35,-75.01,73.66,2.46
529,Madingou,100,CG,1566715807,76,-4.17,13.56,71.14,4.23
530,Payo,34,ID,1566715808,38,-3.75,103.64,87.34,5.23
531,Kenai,1,US,1566715809,71,60.55,-151.26,55.4,3.36
532,Lorengau,98,PG,1566715729,78,-2.02,147.27,82.84,11.36
533,Dingzhou,14,CN,1566715812,61,38.51,115.0,78.8,4.47
534,Ailigandi,97,PA,1566715813,85,9.23,-78.02,82.3,11.88
535,Merauke,12,ID,1566715814,82,-8.49,140.4,77.08,22.12
536,Dudinka,75,RU,1566715717,82,69.41,86.18,60.8,13.42
537,Portland,20,US,1566715499,77,43.66,-70.25,61.0,6.93
538,Suluq,0,LY,1566715817,70,31.67,20.25,79.42,12.08
539,Kysyl-Syr,6,RU,1566715819,51,63.9,122.77,67.36,6.73
540,Lapua,0,FI,1566715820,82,62.97,23.01,57.99,9.17
541,Fuengirola,75,ES,1566715821,68,36.54,-4.62,75.0,6.93
542,Varkaus,90,FI,1566715822,93,62.32,27.87,60.01,4.7
543,Samagaltay,26,RU,1566715823,42,50.6,95.0,59.98,6.24
544,Moree,75,AU,1566715825,16,-29.46,149.84,78.8,13.87
